Date,State,Event,Art_Form,Visitors,Tourism_Level,Revenue_INR,Local_Employment,Month,Year,Quarter,Region
2022-01-01,Rajasthan,Desert Festival,Folk Dance,2500,Medium,3750000,250,1,2022,Q1,West
2022-01-02,Kerala,Classical Dance Festival,Classical Dance,1800,Medium,2700000,180,1,2022,Q1,South
2022-01-03,Karnataka,Handicraft Fair,Handicrafts,1200,Low,1800000,120,1,2022,Q1,South
2022-01-05,Tamil Nadu,Temple Festival,Traditional Music,3200,High,4800000,320,1,2022,Q1,South
2022-01-07,West Bengal,Folk Music Festival,Traditional Music,2800,Medium,4200000,280,1,2022,Q1,East
2022-01-10,Gujarat,Kite Festival,Handicrafts,4500,High,6750000,450,1,2022,Q1,West
2022-01-15,Maharashtra,Classical Dance Festival,Classical Dance,2200,Medium,3300000,220,1,2022,Q1,West
2022-01-20,Uttar Pradesh,Handicraft Fair,Textiles,1600,Medium,2400000,160,1,2022,Q1,North
2022-01-25,Punjab,Folk Dance Festival,Folk Dance,1900,Medium,2850000,190,1,2022,Q1,North
2022-02-01,Himachal Pradesh,Snow Festival,Folk Dance,2100,Medium,3150000,210,2,2022,Q1,North
2022-02-05,Goa,Carnival,Folk Dance,5200,High,7800000,520,2,2022,Q1,West
2022-02-10,Odisha,Classical Dance Festival,Classical Dance,1700,Medium,2550000,170,2,2022,Q1,East
2022-02-14,Rajasthan,Camel Festival,Folk Dance,3800,High,5700000,380,2,2022,Q1,West
2022-02-18,Kerala,Boat Race,Traditional Sports,2600,Medium,3900000,260,2,2022,Q1,South
2022-02-22,Karnataka,Music Festival,Traditional Music,2300,Medium,3450000,230,2,2022,Q1,South
2022-03-01,Tamil Nadu,Dance Festival,Classical Dance,2000,Medium,3000000,200,3,2022,Q1,South
2022-03-08,West Bengal,Holi,Folk Festival,4200,High,6300000,420,3,2022,Q1,East
2022-03-15,Gujarat,Folk Fair,Folk Dance,2800,Medium,4200000,280,3,2022,Q1,West
2022-03-20,Maharashtra,Art Exhibition,Paintings,1500,Medium,2250000,150,3,2022,Q1,West
2022-03-25,Uttar Pradesh,Craft Fair,Handicrafts,1800,Medium,2700000,180,3,2022,Q1,North
2022-04-02,Punjab,Baisakhi,Folk Dance,3500,High,5250000,350,4,2022,Q2,North
2022-04-10,Himachal Pradesh,Spring Festival,Folk Music,1400,Low,2100000,140,4,2022,Q2,North
2022-04-15,Goa,Music Festival,Traditional Music,1800,Medium,2700000,180,4,2022,Q2,West
