Date,State,Event,Art_Form,Visitors,Tourism_Level,Revenue_INR,Local_Employment,Month,Year,Quarter,Region
2016-01-07,Odisha,Konark Dance Festival,Classical Dance,4860,High,6172200,531,1,2016,Q1,East
2016-01-21,Nagaland,Hornbill Festival,Folk Dance,9734,High,10911814,839,1,2016,Q1,North East
2016-01-11,Meghalaya,Shillong Cherry Blossom Festival,Folk Dance,9578,High,10411286,894,1,2016,Q1,North East
2016-01-08,Rajasthan,Bundi Utsav,Traditional Music,4130,High,6859930,339,1,2016,Q1,West
2016-01-24,Gujarat,Kankaria Carnival,Folk Dance,9611,High,13580343,850,1,2016,Q1,West
2016-01-21,Gujarat,International Kite Festival,Handicrafts,5184,High,7563456,541,1,2016,Q1,West
2016-01-12,Madhya Pradesh,Khajuraho Dance Festival,Classical Dance,6904,High,10770240,697,1,2016,Q1,Central
2016-01-10,Madhya Pradesh,Jal Mahotsav,Handicrafts,6047,High,8919325,719,1,2016,Q1,Central
2016-01-15,Haryana,Surajkund Mela,Handicrafts,4189,High,8197873,466,1,2016,Q1,North
2016-01-19,Arunachal Pradesh,Orange Festival,Folk Dance,5899,High,9237834,703,1,2016,Q1,North East
2016-01-25,Chandigarh,Rose Festival,Folk Dance,7202,High,10687768,751,1,2016,Q1,North
2016-01-21,Bihar,Rajgir Mahotsav,Traditional Music,6888,High,8031408,554,1,2016,Q1,East
2016-01-25,Chhattisgarh,Bastar Dussehra,Folk Dance,6363,High,6445719,714,1,2016,Q1,Central
2016-01-09,Uttar Pradesh,Maha Kumbh Mela,Traditional Music,6612,High,12542964,709,1,2016,Q1,North
2016-02-15,Odisha,Konark Dance Festival,Classical Dance,5478,High,7817106,546,2,2016,Q1,East
2016-02-15,Nagaland,Hornbill Festival,Folk Dance,4034,High,4860970,385,2,2016,Q1,North East
2016-02-18,Meghalaya,Shillong Cherry Blossom Festival,Folk Dance,7943,High,11016941,734,2,2016,Q1,North East
2016-02-06,Rajasthan,Bundi Utsav,Traditional Music,6613,High,7307365,679,2,2016,Q1,West
2016-02-18,Gujarat,Kankaria Carnival,Folk Dance,9675,High,11232675,926,2,2016,Q1,West
2016-02-04,Gujarat,International Kite Festival,Handicrafts,8911,High,11316970,744,2,2016,Q1,West
2016-02-23,Madhya Pradesh,Khajuraho Dance Festival,Classical Dance,5275,High,8972775,490,2,2016,Q1,Central
2016-02-16,Madhya Pradesh,Jal Mahotsav,Handicrafts,4337,High,8144886,490,2,2016,Q1,Central
